"rowNumber","refId","name","status","leadTeam","departmentOwner","startDate","endDate","isOwner","opexBudget","capexBudget"
"3","ISPRJ-1","Digital Roadmap 2025 (Increase website and app conversion + indirect sales)","Completed","Digital Technology","Commercial","2025-01-01","2025-10-01","Xavier ROMANET","0","10795800"
"4","ISPRJ-85","Digital Roadmap 2026","Draft","Digital Technology","Commercial","2026-01-01","2026-01-01","Xavier ROMANET","0","0"
"5","ISPRJ-22","Onboarding Continental Teams to ACMS","Draft","Operations","Operations","2025-10-01","2026-01-01","Eva Wruszczak","0","0"
"6","ISPRJ-100","Group sales automation","Draft","Digital Technology","Commercial","2025-01-01","2025-10-01","Xavier ROMANET","0","0"
"7","ISPRJ-101","Loyalty as a currency","Draft","Digital Technology","Commercial","2025-01-01","2025-10-01","Xavier ROMANET","0","0"
"8","ISPRJ-102","Check out (Paypal NL+FR, WERO)","Draft","Digital Technology","Commercial","2025-01-01","2025-10-01","Xavier ROMANET","0","0"
"9","ISPRJ-103","MYB : upgrade optimisation, assistance aftersales, meal pref…","Draft","Digital Technology","Commercial","2025-01-01","2025-10-01","Xavier ROMANET","0","0"
"10","ISPRJ-104","E4B dashboard/invoices","Draft","Digital Technology","Commercial","2025-01-01","2025-10-01","Xavier ROMANET","0","0"
"11","ISPRJ-105","implement Aikido Code Analysis","Draft","Data & Middleware","Information Systems","2025-01-01","2025-10-01","Paolo RODEGHIERO","0","0"
"12","ISPRJ-106","Contact Centre - prj 5 - improve SF user friendliness & advisor efficiency","Draft","Customer","Commercial","2025-01-01","2025-10-01","Maël DELMAS","0","0"
"13","ISPRJ-107","Contact Centre - prj 6 - Gamification of the training, Knowledge reco","Draft","Customer","Commercial","2025-01-01","2025-10-01","Maël DELMAS","0","0"
"14","ISPRJ-14","HR Digitisation phase 1 : external payroll","Draft","Corp HR & Finance","Human Resources","2025-07-01","2026-01-01","Kristof ACKE","0","0"
"15","ISPRJ-38","Wifi on board POC","Draft","Operations","Operations","2024-01-01","2025-10-01","Vrushik PATEL","346034","219893"
